EmployeeID,Age,Gender,Department,JobRole,MonthlyIncome,OverTime,JobSatisfaction,DistanceFromHome,YearsAtCompany,Attrition
165,53,Female,IT,Sales Executive,7009,Yes,3,7,8,Yes
166,54,Female,Sales,Lab Technician,13410,No,2,26,9,No
167,22,Female,Finance,Software Developer,7967,No,2,17,0,No
168,40,Male,R&D,Software Developer,13695,No,2,16,2,No
169,23,Female,IT,Sales Executive,12135,No,1,27,17,No
170,47,Female,HR,HR Executive,8722,Yes,3,27,11,No
171,53,Male,Finance,Lab Technician,18514,No,1,24,2,No
172,27,Female,IT,HR Executive,14128,No,1,3,8,No
173,53,Female,Sales,HR Executive,7444,Yes,1,14,1,No
174,25,Male,Sales,Technical Lead,10618,No,4,10,2,No
175,32,Male,Sales,Research Scientist,4196,Yes,4,22,13,No
176,38,Male,Sales,Sales Executive,15297,Yes,4,7,3,No
177,59,Female,HR,Financial Analyst,5787,Yes,3,26,18,Yes
178,45,Female,Finance,Software Developer,10927,Yes,1,17,12,No
179,26,Female,R&D,Software Developer,5176,No,1,6,6,No
180,55,Male,HR,Sales Executive,11792,Yes,4,23,11,Yes
181,27,Male,HR,Technical Lead,12171,No,1,22,2,No
182,43,Female,R&D,Manager,5451,No,1,4,8,No
183,32,Female,R&D,Manager,3628,Yes,2,17,1,No
184,37,Male,Sales,Manager,12821,No,1,27,8,No
185,54,Male,HR,Technical Lead,10778,No,2,9,11,Yes
186,30,Male,IT,Financial Analyst,6696,No,1,4,11,No
187,27,Male,R&D,Software Developer,15972,Yes,3,7,14,No
188,37,Female,R&D,Sales Executive,11307,No,4,23,1,No
189,50,Male,Finance,Technical Lead,7956,No,2,2,17,No
190,24,Female,IT,Software Developer,13195,Yes,4,17,12,No
191,41,Female,IT,HR Executive,4105,Yes,2,24,13,No
192,57,Female,R&D,Lab Technician,18417,No,2,8,4,No
193,40,Male,Sales,Lab Technician,17188,Yes,2,23,9,No
194,47,Male,Finance,Technical Lead,15602,No,3,15,11,No
195,24,Male,IT,Software Developer,12256,No,1,15,9,Yes
196,40,Male,R&D,Research Scientist,17212,No,2,8,10,Yes
197,41,Female,IT,Financial Analyst,4913,No,3,16,1,No
198,53,Male,Finance,Manager,13593,Yes,2,19,4,No
199,28,Male,Finance,Financial Analyst,4772,Yes,1,11,6,No
200,54,Female,HR,Financial Analyst,15996,No,2,2,5,Yes
201,39,Male,R&D,Technical Lead,5871,No,3,23,2,Yes
202,22,Female,Finance,HR Executive,16234,No,1,24,12,No
203,32,Female,HR,Financial Analyst,13521,Yes,3,17,2,No
204,49,Female,HR,Lab Technician,13642,Yes,1,28,5,No
205,46,Female,IT,HR Executive,4132,Yes,1,26,10,No
206,44,Female,IT,Sales Executive,3699,No,4,16,16,No
207,52,Female,HR,Financial Analyst,17534,Yes,4,25,9,No
208,51,Female,IT,Financial Analyst,13230,No,4,15,11,No
209,56,Female,Finance,Sales Executive,9297,No,1,13,16,No
210,28,Male,Sales,Financial Analyst,15839,No,2,15,3,No
211,37,Male,Finance,Sales Executive,10812,No,3,27,1,No
212,47,Male,HR,HR Executive,7557,Yes,3,4,10,Yes
213,23,Male,HR,Lab Technician,5179,No,3,16,6,No
214,22,Female,Finance,Sales Executive,14030,No,4,12,1,No
215,33,Male,IT,Research Scientist,12065,No,1,4,17,No
216,26,Female,IT,Technical Lead,11275,No,4,3,3,Yes
217,58,Male,HR,Technical Lead,18089,No,2,22,7,No
218,53,Male,R&D,Sales Executive,6180,Yes,1,17,19,No
219,30,Male,IT,Technical Lead,9696,Yes,3,22,13,No
220,56,Female,Finance,Financial Analyst,12583,No,4,18,11,No
221,40,Male,IT,Manager,19998,No,4,25,17,No
222,37,Female,Finance,Manager,16869,Yes,2,18,10,No
223,24,Female,HR,Technical Lead,14757,No,2,23,7,No
224,41,Male,IT,HR Executive,19654,No,4,28,1,No
225,45,Male,Finance,Software Developer,15258,Yes,2,17,14,No
226,54,Male,HR,HR Executive,5468,No,3,12,8,No
227,45,Female,R&D,Software Developer,17208,No,2,23,18,No
228,32,Male,Finance,Manager,18042,Yes,2,21,19,No
229,29,Female,R&D,Manager,18639,No,4,24,7,No
230,57,Female,R&D,Sales Executive,14546,No,4,4,18,No
231,59,Male,Sales,Lab Technician,15327,No,1,12,4,No
232,41,Male,IT,Research Scientist,17270,No,1,26,10,No
233,56,Female,Finance,HR Executive,18523,No,4,23,14,No
234,46,Female,R&D,Financial Analyst,17300,No,2,22,7,No
235,56,Female,Sales,Software Developer,13775,No,2,21,18,No
236,46,Male,HR,Technical Lead,15265,No,1,20,7,No
237,50,Female,Finance,Financial Analyst,19673,Yes,1,15,18,Yes
238,39,Male,R&D,Lab Technician,9614,Yes,1,23,17,No
239,39,Female,IT,Software Developer,6252,Yes,3,28,9,No
240,23,Female,Sales,HR Executive,10415,No,3,16,6,No
241,56,Male,R&D,Sales Executive,19662,Yes,1,5,8,No
242,37,Female,IT,Financial Analyst,14116,No,2,21,0,No
243,57,Male,R&D,Lab Technician,19964,Yes,1,15,18,Yes
244,54,Male,Finance,HR Executive,7958,Yes,3,17,4,No
245,25,Female,Finance,Manager,7276,No,2,18,18,No
246,54,Male,Finance,Manager,7776,No,3,5,0,No
247,35,Male,Sales,HR Executive,6832,Yes,2,13,14,No
248,42,Female,Finance,HR Executive,17901,No,3,19,15,Yes
249,41,Male,IT,HR Executive,8445,No,2,13,6,No
250,29,Male,R&D,Software Developer,4380,Yes,2,18,11,No
251,28,Male,HR,HR Executive,12865,No,2,14,7,No
252,24,Female,IT,Financial Analyst,16926,No,2,4,4,Yes
253,38,Male,IT,Lab Technician,14580,Yes,4,4,9,No
254,54,Female,Finance,Software Developer,8634,No,3,20,4,Yes
255,33,Female,Sales,HR Executive,8810,No,3,20,16,No
256,43,Male,R&D,Research Scientist,13179,No,4,19,4,No
257,43,Male,Sales,Technical Lead,15251,Yes,2,13,14,No
258,51,Male,R&D,Research Scientist,16131,Yes,2,12,12,No
259,59,Female,R&D,Lab Technician,15707,No,3,7,0,No
260,59,Male,Sales,Manager,5749,Yes,4,25,10,No
261,29,Male,IT,Sales Executive,16156,No,2,12,0,Yes
262,48,Male,R&D,Sales Executive,19589,No,2,21,10,No
263,48,Male,Sales,Technical Lead,6450,No,2,4,17,No
264,55,Male,R&D,Manager,10214,No,1,27,17,Yes
265,42,Female,HR,Software Developer,14814,No,4,2,15,No
266,51,Female,IT,Software Developer,8141,Yes,2,2,12,No
267,54,Male,Finance,Software Developer,5708,No,1,5,6,Yes
268,49,Male,R&D,Sales Executive,18088,Yes,4,23,0,Yes
269,54,Male,HR,Research Scientist,14834,Yes,2,10,15,No
270,26,Male,Finance,Sales Executive,15278,No,3,10,0,No
271,40,Female,Finance,Financial Analyst,13014,No,1,9,16,No
272,25,Male,R&D,HR Executive,6273,No,1,13,5,No
273,56,Female,Sales,Software Developer,17367,Yes,2,7,1,No
274,38,Female,R&D,Research Scientist,7538,No,2,5,16,Yes
275,49,Male,HR,Lab Technician,15541,Yes,1,26,5,No
276,51,Female,Finance,Technical Lead,11712,No,3,10,13,No
277,50,Female,R&D,Lab Technician,12168,Yes,3,10,17,No
278,27,Female,Sales,HR Executive,6551,No,4,6,5,No
279,56,Female,R&D,Research Scientist,15297,No,2,27,9,No
280,58,Male,IT,Sales Executive,13965,No,3,28,17,Yes
281,45,Male,Sales,Sales Executive,5832,No,4,19,8,Yes
282,50,Female,HR,Financial Analyst,16422,No,3,21,7,No
283,52,Male,Finance,Financial Analyst,3152,No,2,8,9,No
284,56,Male,R&D,Sales Executive,14156,Yes,4,1,16,No
285,54,Male,Sales,Lab Technician,14108,Yes,4,28,5,No
286,42,Male,IT,Technical Lead,5800,No,4,17,13,No
287,53,Male,Sales,Software Developer,8310,No,3,7,5,No
288,44,Female,IT,Lab Technician,12944,No,2,14,6,Yes
289,54,Male,HR,Technical Lead,5610,Yes,4,21,11,Yes
290,24,Male,Finance,Financial Analyst,15067,No,1,21,2,No
291,39,Male,HR,HR Executive,4104,No,2,17,13,No
292,46,Male,R&D,Technical Lead,13728,No,1,9,18,No
293,52,Female,Sales,Sales Executive,10263,No,1,17,15,No
294,24,Female,IT,Financial Analyst,4914,No,4,5,6,No
295,45,Female,IT,Financial Analyst,3406,Yes,4,26,7,No
296,53,Female,Sales,Software Developer,16689,No,3,25,17,No
297,43,Male,Sales,Sales Executive,3166,No,3,20,12,Yes
298,44,Female,R&D,Software Developer,3508,No,3,29,8,No
299,23,Male,HR,Sales Executive,6664,Yes,2,8,9,No
300,48,Male,IT,Software Developer,16050,Yes,3,6,8,Yes
301,23,Male,R&D,Technical Lead,3680,No,1,11,14,No
302,47,Male,HR,Lab Technician,7357,No,3,19,19,No
303,38,Male,R&D,HR Executive,4363,No,4,4,1,No
304,54,Female,IT,HR Executive,12523,No,3,18,12,No
305,30,Female,Sales,Sales Executive,5292,No,2,1,1,No
306,50,Female,Sales,Research Scientist,4538,Yes,2,13,18,Yes
307,47,Female,HR,Manager,6408,No,1,14,1,No
308,56,Male,Finance,Financial Analyst,11752,No,2,24,2,No
309,46,Female,HR,Financial Analyst,3174,No,3,1,5,No
310,45,Male,Finance,Sales Executive,5230,No,4,29,2,No
311,34,Female,R&D,Technical Lead,7287,No,2,11,9,No
312,28,Male,R&D,Software Developer,15112,No,1,17,5,No
313,57,Male,IT,Research Scientist,10106,No,3,4,15,No
314,41,Female,Finance,Lab Technician,12689,Yes,1,26,16,No
315,22,Male,IT,Software Developer,15046,Yes,2,12,18,No
316,29,Male,Sales,Software Developer,4151,No,2,10,2,No
317,37,Female,Finance,Sales Executive,10619,Yes,1,6,17,No
318,35,Male,HR,Sales Executive,9033,Yes,3,25,6,No
319,33,Female,Sales,Technical Lead,11560,No,2,1,8,No
320,44,Female,Sales,Financial Analyst,7946,No,4,7,19,No
321,36,Female,HR,Sales Executive,4907,No,2,26,11,No
322,49,Male,Sales,Sales Executive,6490,Yes,3,27,4,No
323,55,Male,Finance,Sales Executive,7173,Yes,2,21,2,No
324,23,Male,IT,Technical Lead,14065,Yes,1,28,10,No
325,53,Female,Sales,Financial Analyst,7769,Yes,2,16,3,Yes
326,44,Male,Finance,Lab Technician,7796,No,2,24,4,No
327,43,Female,R&D,Lab Technician,16046,Yes,3,14,0,Yes
328,46,Female,Finance,Manager,17211,No,1,23,17,Yes
329,43,Male,IT,Manager,7997,Yes,3,20,11,No
330,43,Female,Finance,Sales Executive,11112,No,2,20,12,No
331,27,Male,HR,Manager,8287,No,4,6,8,No
332,36,Male,IT,Financial Analyst,13578,No,2,22,1,No
333,58,Male,R&D,Technical Lead,9426,No,3,25,4,No
334,54,Male,HR,Lab Technician,14599,No,4,28,12,No
335,29,Male,Finance,Software Developer,3389,Yes,3,5,15,No
336,26,Female,IT,Lab Technician,3999,No,3,24,15,No
337,25,Female,R&D,Lab Technician,15812,No,1,21,2,No
338,27,Female,HR,Financial Analyst,18599,No,4,18,3,Yes
339,53,Male,R&D,Manager,4855,Yes,2,15,10,Yes
340,51,Male,Finance,Software Developer,11125,Yes,3,6,13,No
341,56,Male,R&D,Financial Analyst,16794,No,2,25,2,No
342,37,Female,Sales,Sales Executive,5763,No,1,29,15,Yes
343,34,Male,HR,Technical Lead,7986,No,1,19,14,No
344,51,Female,R&D,HR Executive,4481,Yes,4,1,9,No
345,40,Female,Finance,Lab Technician,6731,No,1,1,8,No
346,38,Male,Finance,HR Executive,19835,Yes,1,13,10,No
347,40,Male,R&D,Technical Lead,13758,Yes,2,3,15,No
348,49,Female,Finance,Technical Lead,19311,No,1,10,9,No
349,47,Male,IT,Financial Analyst,11566,Yes,1,21,16,No
350,58,Female,IT,Financial Analyst,14889,Yes,3,3,18,No
351,47,Male,IT,Financial Analyst,14254,No,1,9,1,No
352,44,Male,Sales,HR Executive,14442,Yes,3,8,1,No
353,30,Female,R&D,Financial Analyst,16521,Yes,1,3,5,Yes
354,33,Male,Sales,Technical Lead,7559,Yes,1,25,18,No
355,22,Female,Finance,Sales Executive,19199,Yes,4,13,7,No
356,22,Male,Sales,Financial Analyst,10291,Yes,4,6,2,No
357,55,Female,Finance,Research Scientist,11160,No,3,13,13,No
358,53,Female,Finance,Manager,3112,Yes,1,23,15,Yes
359,46,Male,HR,HR Executive,18924,Yes,2,20,0,No
360,22,Female,IT,Research Scientist,19523,No,4,20,2,No
361,37,Male,Finance,Financial Analyst,4424,No,2,12,17,No
362,26,Male,HR,Technical Lead,13808,No,4,13,8,Yes
363,43,Male,IT,Sales Executive,9043,No,4,2,5,No
364,50,Female,Finance,Lab Technician,9989,No,1,21,0,No
365,24,Female,Finance,Software Developer,9261,No,4,24,9,Yes
366,33,Male,Sales,Manager,3887,No,2,23,5,No
367,47,Male,Sales,Software Developer,19433,No,4,16,11,No
368,37,Female,IT,Financial Analyst,19402,Yes,3,23,3,Yes
369,58,Male,Finance,Manager,15253,Yes,1,6,12,Yes
370,43,Male,R&D,Manager,10846,Yes,1,19,16,Yes
371,50,Female,Sales,Sales Executive,9432,No,3,21,7,No
372,35,Male,IT,Manager,16452,No,3,13,19,Yes
373,49,Female,Finance,HR Executive,16395,No,3,17,2,No
374,26,Male,Finance,Research Scientist,6765,No,4,23,11,No
375,51,Female,R&D,Research Scientist,18950,No,1,9,6,No
376,26,Male,IT,Research Scientist,15502,Yes,3,17,11,Yes
377,33,Male,Finance,HR Executive,12741,Yes,4,29,1,No
378,37,Female,Sales,Software Developer,8941,No,3,2,13,No
379,47,Male,R&D,Sales Executive,7855,No,2,19,4,No
380,47,Female,IT,Manager,18166,No,2,19,8,No
381,42,Male,R&D,HR Executive,8788,No,1,24,10,Yes
382,57,Female,Sales,Research Scientist,3201,Yes,4,7,4,No
383,54,Female,IT,Financial Analyst,13561,No,2,22,2,No
384,51,Female,R&D,Lab Technician,19901,No,2,10,16,No
385,58,Female,HR,Manager,10737,No,4,10,1,No
386,44,Male,Sales,HR Executive,4988,No,3,27,0,No
387,31,Male,Sales,Technical Lead,18441,Yes,4,20,6,Yes
388,26,Female,Sales,HR Executive,14737,Yes,3,9,13,No
389,57,Female,HR,Sales Executive,17256,No,2,17,4,No
390,55,Female,HR,Sales Executive,10162,No,2,27,18,Yes
391,52,Male,Finance,HR Executive,16065,No,2,15,10,No
392,31,Male,R&D,Research Scientist,17114,Yes,1,2,1,No
393,40,Male,Finance,Lab Technician,11399,No,1,4,7,No
394,53,Male,R&D,Manager,8633,Yes,1,19,8,Yes
395,22,Female,HR,Sales Executive,8755,Yes,4,17,2,No
396,26,Female,HR,Manager,13825,No,2,5,1,No
397,25,Female,Finance,Research Scientist,7117,No,2,7,6,No
398,37,Male,IT,Manager,4518,Yes,4,18,4,Yes
399,45,Male,Finance,Financial Analyst,19346,Yes,1,21,4,No
400,37,Male,R&D,Sales Executive,5600,No,4,22,19,No
401,23,Female,Finance,Research Scientist,16237,Yes,1,27,12,No
402,49,Female,Sales,Research Scientist,6554,No,2,7,19,No
403,53,Male,R&D,Lab Technician,19193,No,3,17,5,Yes
404,48,Female,R&D,Lab Technician,18253,Yes,1,7,19,Yes
405,41,Male,IT,Financial Analyst,19194,Yes,2,4,17,No
406,45,Male,HR,Research Scientist,4742,No,2,8,1,No
407,33,Female,R&D,Software Developer,4306,No,3,13,5,No
408,56,Male,HR,Research Scientist,6849,No,2,4,8,No
409,54,Female,Finance,Lab Technician,15360,No,2,6,2,No
410,54,Male,Sales,Software Developer,15768,No,1,25,0,No
411,58,Female,IT,Sales Executive,16032,No,1,5,0,No
412,33,Female,HR,Sales Executive,7195,No,3,12,18,No
413,24,Female,R&D,Manager,10619,No,3,4,4,No
414,22,Male,HR,HR Executive,12280,No,2,24,12,No
415,54,Male,R&D,Lab Technician,5642,No,1,29,18,Yes
416,31,Female,HR,HR Executive,12369,No,3,9,11,No
417,50,Female,R&D,Software Developer,17296,No,3,4,15,No
418,34,Male,Finance,Lab Technician,18438,Yes,4,19,18,No
419,33,Male,R&D,Financial Analyst,18674,No,3,24,2,No
420,52,Male,R&D,Research Scientist,7757,Yes,2,14,11,No
421,23,Female,Sales,Financial Analyst,5994,Yes,1,5,4,No
422,56,Male,R&D,Software Developer,18226,Yes,3,18,1,No
423,44,Male,Sales,Lab Technician,4271,No,4,10,6,No
424,38,Female,IT,Technical Lead,4813,No,1,25,12,Yes
425,47,Male,Sales,Software Developer,11475,Yes,3,19,14,No
426,29,Male,Finance,Technical Lead,7396,No,4,12,2,No
427,50,Male,Sales,Research Scientist,12283,No,3,18,19,No
428,47,Female,IT,Sales Executive,16318,Yes,1,17,4,Yes
429,31,Female,Finance,Sales Executive,3082,No,1,24,7,Yes
430,47,Female,HR,Software Developer,4920,No,1,11,0,No
431,55,Female,HR,HR Executive,10817,No,2,3,7,No
432,28,Female,Sales,Lab Technician,14683,No,3,23,17,Yes
433,25,Female,Sales,Lab Technician,14336,No,2,17,19,No
434,32,Female,IT,Sales Executive,18596,Yes,1,1,15,No
435,50,Male,IT,Manager,5093,Yes,4,15,17,No
436,57,Male,R&D,Financial Analyst,15905,Yes,3,28,19,No
437,46,Female,IT,Manager,11367,No,2,9,11,No
438,42,Male,R&D,Research Scientist,8285,Yes,3,15,12,No
439,57,Male,Finance,Financial Analyst,13896,Yes,4,28,12,No
440,31,Female,Sales,Financial Analyst,7937,No,2,24,9,No
441,58,Male,Finance,Software Developer,19753,No,1,28,6,No
442,30,Male,IT,Sales Executive,15977,No,2,29,13,Yes
443,45,Male,Finance,Manager,10674,Yes,3,3,15,No
